Department,Department_Division,PCN,Position_Title,FLSA_Code,Initial_Hire_Date,Date_in_Title,Salary,OBJECTID
AGR ,AGR 001 Directors Office,B.001326.1     ,Administrative Specialist II,,10-Sep-84,1-Mar-18,71919.64,288053
AGR ,AGR 001 Directors Office,B.003590,Rural Community Coordinator,,16-Aug-03,7-Dec-16,94556.02,288054
AGR ,AGR 001 Directors Office,B.004807,Director of Agriculture,,1-Oct-08,1-Oct-08,151613.54,288055
AGR ,AGR 010 Cooperative Extension Program,B.001801.1     ,Administrative Assistant,,1-Feb-11,29-Jul-21,44101.72,288056
AGR ,AGR 010 Cooperative Extension Program,I.080043,Administrative Intern II,,9-May-24,,16,288057
AGR ,AGR 110 Farmers Market,B.007414.1     ,Program Educator I,,10-Mar-22,21-Apr-22,48508.98,288058
AGR ,AGR 110 Farmers Market,B.007872,Office Assistant II,,2-Sep-22,13-Jul-23,36283.26,288059
AGR ,AGR 110 Farmers Market,B.000190.1     ,Farmer's Market Supervisor,,14-Apr-22,14-Apr-22,50611.6,288060
AGR ,AGR 310 Agricultural Reserve Program,B.005215.1     ,Planner II,,3-Aug-17,3-Aug-17,69611.36,288061
AUD ,AUD 180 City Auditor,B.001048.1     ,Administrative Specialist II,,22-May-15,2-Jun-22,57269.42,288062
AUD ,AUD 180 City Auditor,B.004376.1     ,Auditor IV,,7-Apr-16,20-May-21,92687.66,288063
AUD ,AUD 180 City Auditor,B.005728.1     ,Auditor IV,,16-Mar-03,22-Aug-14,108200.56,288064
AUD ,AUD 180 City Auditor,B.002257.1     ,Auditor IV,,16-Jul-87,1-Aug-09,126098.44,288065
AUD ,AUD 180 City Auditor,B.002492.1     ,Auditor III,,22-Aug-15,24-Feb-22,83931.12,288066
AUD ,AUD 180 City Auditor,B.000983,City Auditor,,15-May-08,15-May-08,157568.06,288067
AUD ,AUD 180 City Auditor,B.007413,Auditor III,,13-Sep-18,12-Oct-23,70276.44,288068
AUD ,AUD 180 City Auditor,B.007688,Auditor I,,29-Sep-22,29-Sep-22,58209.84,288069
CAD ,CAD 010 City Attorney,B.002234,Paralegal,,7-Oct-15,7-Oct-15,62763.22,288070
CAD ,CAD 010 City Attorney,B.005502.1     ,Paralegal,,1-Jan-08,7-Feb-16,62763.22,288071
CAD ,CAD 010 City Attorney,B.002685.1     ,Deputy City Attorney,,1-Sep-00,16-Mar-09,176205.64,288072
CAD ,CAD 010 City Attorney,B.005049,Associate City Attorney,,16-Nov-06,1-Feb-08,133845.66,288073
CAD ,CAD 010 City Attorney,B.000926,Associate City Attorney,,16-May-04,16-May-06,135119.66,288074
CAD ,CAD 010 City Attorney,B.006082.1     ,Paralegal,,1-Jun-04,30-Aug-18,64594.4,288075
